ev_stand,ev_hit,ev_double,realized_units,stand_shadow_units,hit_shadow_units
-1.000000,+1.000000,-0.814286,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.333333,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.229268,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.842365,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.438776,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.919897,+0.000000,-1.000000,+0.000000
-1.000000,+0.000000,-0.921466,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.835979,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.927614,+0.000000,-1.000000,+0.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.000000,+1.000000,-0.333333,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.067039,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.759207,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,+0.017241,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.843023,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.483776,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.095808,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.927052,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.845679,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.236593,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.706070,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.062706,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.671141,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.406143,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.073171,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.597173,+1.000000,-1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.000000,+0.000000,-0.926199,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.112782,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.509579,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.921875,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.376984,+1.000000,-1.000000,+1.000000
+0.000000,+0.000000,-0.514170,+0.000000,+0.000000,+0.000000
-1.000000,+0.000000,-0.921488,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.122363,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.913793,+0.000000,-1.000000,+0.000000
-1.000000,+0.000000,-0.920705,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.117117,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.307339,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.228972,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.837321,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.433498,+1.000000,-1.000000,+1.000000
+0.000000,+0.000000,-0.384428,+0.000000,+0.000000,+0.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.845361,+1.000000,+1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.000000,+1.000000,-0.455026,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.604278,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.601626,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.131507,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.919444,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.841360,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.298851,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.122093,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.840237,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.109756,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.303406,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.119497,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.302548,+1.000000,-1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.000000,+1.000000,-0.608553,+1.000000,-1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
+1.000000,+1.000000,-0.587838,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.326460,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.757895,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.168459,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.321168,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.535316,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.928302,+0.000000,-1.000000,+0.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
+1.000000,+1.000000,-0.019608,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.751004,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.703704,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.564854,+1.000000,-1.000000,+1.000000
